target_column,feature_set,model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
heart_related_event_by_2018,broad_fi_minimal,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.6105586145859784,0.6156686832813694,0.17810423172407075,0.2714801444043321,0.49473684210526314,0.18706467661691542,0.6794821498626913,0.32051785013730877,0.5052631578947369,1732,817,192,188,0.3431205189484466,0.6568794810515535
heart_related_event_by_2018,broad_fi_minimal,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5327429125328911,0.6346260659494951,0.1868486956743635,0.2782984859408796,0.5078947368421053,0.1916583912611718,0.6806590819929385,0.3193409180070616,0.4921052631578947,1735,814,187,193,0.34380334585182654,0.6561966541481734
heart_related_event_by_2020,primary,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5210027287596741,0.6509866332201357,0.2300576232335488,0.29373650107991356,0.5151515151515151,0.2054380664652568,0.6919172198360015,0.3080827801639984,0.48484848484848486,1772,789,192,204,0.3358133243151843,0.6641866756848157
heart_related_event_by_2020,primary,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4322874363651074,0.6565390334425868,0.2342873768565732,0.29380341880341876,0.6944444444444444,0.18631436314363142,0.5310425614994143,0.4689574385005857,0.3055555555555556,1360,1201,121,275,0.49915454852891444,0.5008454514710856
heart_related_event_by_2020,primary,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.535504937171936,0.6492832463644647,0.23044124012860728,0.2822384428223844,0.7323232323232324,0.17480409885473178,0.465443186255369,0.534556813744631,0.2676767676767677,1192,1369,106,290,0.5610415962123774,0.43895840378762263
heart_related_event_by_2020,primary,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3286947954276486,0.6428882735989335,0.22283554135656297,0.2802225594334851,0.6994949494949495,0.1752055660974067,0.49082389691526745,0.5091761030847325,0.3005050505050505,1257,1304,119,277,0.534663510314508,0.465336489685492
heart_related_event_by_2020,primary,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.45035190464613406,0.6549524925159442,0.2328245333044776,0.2913553895410886,0.6893939393939394,0.18470906630581868,0.5294806716126513,0.47051932838734867,0.3106060606060606,1356,1205,123,273,0.49983090970578287,0.5001690902942171
heart_related_event_by_2020,no_body_size_demographic,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5410056785111181,0.6442884526640873,0.23851044108439046,0.29421221864951774,0.4621212121212121,0.21580188679245282,0.740335806325654,0.25966419367434596,0.5378787878787878,1896,665,213,183,0.28677713899222185,0.7132228610077782
heart_related_event_by_2020,no_body_size_demographic,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.44669639634328306,0.6492452837630502,0.2324499010224752,0.28748590755355125,0.6439393939393939,0.18505079825834542,0.5614994142912925,0.43850058570870754,0.3560606060606061,1438,1123,141,255,0.4660128508623605,0.5339871491376396
heart_related_event_by_2020,no_body_size_demographic,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.6082058548927307,0.6442928898512655,0.23394837897373702,0.30007178750897345,0.5277777777777778,0.20962888665997995,0.6923076923076923,0.3076923076923077,0.4722222222222222,1773,788,187,209,0.3371660466689212,0.6628339533310788
heart_related_event_by_2020,no_body_size_demographic,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3555032776654081,0.6364385755248699,0.22595939778410506,0.28766344513928366,0.6388888888888888,0.18561995597945707,0.5665755564232722,0.4334244435767278,0.3611111111111111,1451,1110,143,253,0.46094014203584716,0.5390598579641528
heart_related_event_by_2020,no_body_size_demographic,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.5019735347053431,0.6436292838577102,0.22791516222630856,0.29822485207100596,0.6363636363636364,0.1947449768160742,0.5931276844982428,0.4068723155017571,0.36363636363636365,1519,1042,144,252,0.4376056814338857,0.5623943185661143
